Mass (g),Luminosity (erg/s),Pressure (dyn/cm^2),Radius (cm),Temperature (K),Energy Generation Rate (erg/g/s),Opacity (cm^2/g),Adiabatic Gradient,Radiative Gradient,Convective or Radiative
8.718019945945946e+32,4.787246050045162e+33,3.047984213166981e+16,15454155838.811878,7757726.339640168,0.39329911244964905,0.5569875096834983,0.39964105490527174,0.10147617657299161,RAD
8.726961486486486e+32,4.7875969517057255e+33,3.0407316273749348e+16,15464384276.121696,7753943.733844686,0.39158241904294966,0.557200430154459,0.39964090028841603,0.1013746416965216,RAD
8.735903027027027e+32,4.787946321373444e+33,3.0334907943877612e+16,15474618569.38691,7750162.245808071,0.3898721725180897,0.5574135345702015,0.3996407450888739,0.1012731546233161,RAD
8.744844567567568e+32,4.788294164805889e+33,3.026261701051132e+16,15484858740.849659,7746381.868311337,0.38816835079400064,0.5576268261015676,0.39964058930596397,0.10117171587717906,RAD
8.753786108108108e+32,4.7886404877399074e+33,3.0190443342356196e+16,15495104812.789692,7742602.594125452,0.3864709318656186,0.5578403079355488,0.3996404329390026,0.10107032598258212,RAD
8.762727648648649e+32,4.788985295891619e+33,3.0118386808366936e+16,15505356807.524353,7738824.416011343,0.38477989380362443,0.5580539832753697,0.3996402759873053,0.10096898546466254,RAD
8.77166918918919e+32,4.7893285949564157e+33,3.004644727774726e+16,15515614747.408588,7735047.326719892,0.38309521475419733,0.5582678553405321,0.3996401184501869,0.10086769484921493,RAD
8.78061072972973e+32,4.789670390608965e+33,2.9974624619949896e+16,15525878654.834936,7731271.318991943,0.38141687293875504,0.5584819273669002,0.3996399603269603,0.10076645466268984,RAD
8.78955227027027e+32,4.790010688503207e+33,2.9902918704676544e+16,15536148552.233543,7727496.385558292,0.37974484665370073,0.5586962026067632,0.39963980161693746,0.10066526543218839,RAD
8.79849381081081e+32,4.790349494272356e+33,2.9831329401877944e+16,15546424462.072151,7723722.519139697,0.3780791142701806,0.5589106843288982,0.39963964231942944,0.10056412768545714,RAD
8.807435351351351e+32,4.790686813528898e+33,2.9759856581753784e+16,15556706406.856102,7719949.712446868,0.37641965423382356,0.5591253758186407,0.3996394824337459,0.10046304195088386,RAD
8.816376891891892e+32,4.791022651864595e+33,2.9688500114752804e+16,15566994409.128336,7716177.958180477,0.37476644506449436,0.559340280377957,0.39963932195919544,0.10036200875749435,RAD
8.825318432432432e+32,4.7913570148504807e+33,2.961725987157273e+16,15577288491.469395,7712407.249031153,0.3731194653560454,0.5595554013255051,0.3996391608950851,0.10026102863494629,RAD
8.834259972972973e+32,4.791689908036863e+33,2.9546135723160264e+16,15587588676.49742,7708637.577679476,0.3714786937760647,0.5597707419967092,0.3996389992407217,0.10016010211352654,RAD
8.843201513513513e+32,4.7920213369533237e+33,2.947512754071115e+16,15597894986.868147,7704868.936795993,0.3698441090656298,0.5599863057438293,0.39963883699540975,0.1000592297241463,RAD
8.852143054054054e+32,4.792351307108717e+33,2.9404235195670092e+16,15608207445.27492,7701101.319041199,0.3682156900390603,0.5602020959360243,0.399638674158454,0.09995841199833647,RAD
8.861084594594595e+32,4.792679823991173e+33,2.9333458559730824e+16,15618526074.448677,7697334.717065553,0.36659341558367065,0.5604181159594337,0.39963851072915674,0.09985764946824517,RAD
8.870026135135135e+32,4.793006893068092e+33,2.926279750483608e+16,15628850897.157951,7693569.1235094685,0.36497726465952274,0.5606343692172328,0.39963834670682036,0.09975694266663139,RAD
8.878967675675676e+32,4.793332519786151e+33,2.919225190317757e+16,15639181936.208887,7689804.531003315,0.36336721629918467,0.5608508591297156,0.39963818209074514,0.09965629212686275,RAD
8.887909216216216e+32,4.7936567095712976e+33,2.912182162719604e+16,15649519214.445217,7686040.932167423,0.3617632496074784,0.5610675891343591,0.3996380168802307,0.09955569838291067,RAD
8.896850756756757e+32,4.793979467828756e+33,2.9051506549581196e+16,15659862754.74828,7682278.3196120765,0.3601653437612416,0.5612845626858971,0.39963785107457606,0.09945516196934676,RAD
8.905792297297298e+32,4.794300799943021e+33,2.898130654327178e+16,15670212580.037012,7678516.685937518,0.3585734780090841,0.5615017832563947,0.3996376846730782,0.09935468342133956,RAD
8.914733837837837e+32,4.794620711277863e+33,2.8911221481455532e+16,15680568713.267946,7674756.023733948,0.35698763167114167,0.5617192543353116,0.39963751767503397,0.09925426327464923,RAD
8.923675378378378e+32,4.7949392071763255e+33,2.884125123756916e+16,15690931177.43522,7670996.3255815245,0.35540778413883717,0.5619369794295833,0.3996373500797385,0.099153902065625,RAD
8.93261691891892e+32,4.795256292960725e+33,2.877139568529841e+16,15701299995.570568,7667237.584050361,0.3538339148746367,0.5621549620636843,0.39963718188648634,0.0990536003312003,RAD
8.941558459459459e+32,4.795571973932652e+33,2.8701654698578024e+16,15711675190.74332,7663479.79170053,0.35226600341180936,0.5623732057797165,0.3996370130945709,0.09895335860889158,RAD
8.9505e+32,4.7958862553729696e+33,2.863202815159172e+16,15722056786.060417,7659722.941082059,0.3507040293541902,0.5625917141374607,0.39963684370328445,0.0988531774367907,RAD
8.95945945945946e+32,4.7915830431636937e+33,2.8250186057902864e+16,15265572387.323416,7804353.200157215,0.3722993650471688,0.535160734866161,0.39960340738824274,0.08592725874751508,RAD
8.968418918918919e+32,4.791915780886585e+33,2.8171757213730452e+16,15276974651.410538,7800197.722341254,0.3704594051793373,0.5353765918484649,0.39960315016998643,0.08582622613312085,RAD
8.977378378378378e+32,4.7922468750836085e+33,2.8093484091561796e+16,15288385536.482237,7796043.352942068,0.36862730221895174,0.5355928517765794,0.3996028921349829,0.08572527794734763,RAD
8.986337837837838e+32,4.7925763326394614e+33,2.8015366464401492e+16,15299805071.945614,7791890.081532967,0.36680302547920446,0.5358095136601121,0.39960263328212703,0.08562441396336717,RAD
8.995297297297298e+32,4.7929041604173785e+33,2.7937404105614404e+16,15311233287.298746,7787737.897734193,0.3649865444041524,0.5360265764866818,0.3996023736102995,0.08552363394972107,RAD
9.004256756756757e+32,4.7932303652591325e+33,2.7859596788925716e+16,15322670212.130693,7783586.791212914,0.3631778285680266,0.5362440392218177,0.39960211311836585,0.08542293767033614,RAD
9.013216216216217e+32,4.7935549539850353e+33,2.7781944288420864e+16,15334115876.121502,7779436.751683224,0.36137684767455436,0.5364619008088612,0.39960185180517643,0.08532232488453963,RAD
9.022175675675676e+32,4.7938779333939353e+33,2.770444637854561e+16,15345570309.042192,7775287.768906148,0.3595835715562654,0.536680160168859,0.3996015896695667,0.0852217953470737,RAD
9.031135135135135e+32,4.794199310263219e+33,2.7627102834106016e+16,15357033540.754768,7771139.832689636,0.35779797017382864,0.5368988162004592,0.3996013267103569,0.08512134880811037,RAD
9.040094594594595e+32,4.794519091348811e+33,2.7549913430268396e+16,15368505601.212223,7766992.932888568,0.3560200136153619,0.5371178677798002,0.3996010629263516,0.08502098501326479,RAD
9.049054054054055e+32,4.7948372833851723e+33,2.7472877942559404e+16,15379986520.458517,7762847.05940475,0.35424967209577685,0.5373373137604196,0.3996007983163409,0.08492070370361289,RAD
9.058013513513514e+32,4.7951538930853044e+33,2.739599614686596e+16,15391476328.628603,7758702.202186917,0.35248691595609877,0.5375571529731344,0.3996005328790986,0.08482050461570377,RAD
9.066972972972973e+32,4.7954689271407444e+33,2.7319267819435304e+16,15402975055.948406,7754558.351230732,0.3507317156628165,0.5377773842259436,0.39960026661338366,0.08472038748157588,RAD
9.075932432432433e+32,4.7957823922215676e+33,2.724269273687492e+16,15414482732.734844,7750415.496578783,0.3489840418072131,0.5379980063039066,0.3995999995179389,0.08462035202876984,RAD
9.084891891891893e+32,4.7960942949763876e+33,2.716627067615264e+16,15425999389.39581,7746273.62832059,0.3472438651047153,0.538219017969055,0.39959973159149226,0.08452039798034611,RAD
9.093851351351352e+32,4.796404642032356e+33,2.709000141459656e+16,15437525056.43017,7742132.736592596,0.3455111563942394,0.538440417960261,0.3995994628327553,0.08442052505489643,RAD
